
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4306    0.3499   -0.0290    1.0000    0.0046    0.0002    4.0000    0.9999         0
         1         2    4.0000    1.4861    1.5692    0.0997   -0.0367    0.9993   -0.0001    4.0000    1.0000         0
% end

% time 3.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4069    0.3032    0.0975    0.9999    0.0159    0.0045    4.0000    1.0000         0
         1         2    4.0000    1.4006    1.6097   -0.0213   -0.1508    0.9877   -0.0403    4.0000    1.0000         0
% end

% time 4.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4068    0.3433    0.0833    0.9997   -0.0148    0.0177    3.9998    0.9997         0
         1         2    4.0000    1.5029    1.6802   -0.0419   -0.0948    0.9951   -0.0279    4.0000    1.0000         0
% end

% time 4.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3449    0.2600    0.0663    0.9581    0.2857    0.0194    4.0000    1.0000         0
         1         2    4.0000    1.5695    1.7490   -0.0990   -0.1938    0.9810    0.0013    4.0000    1.0000         0
% end

% time 4.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3785    0.4676    0.1118    0.9716    0.2364   -0.0065    4.0000    1.0000         0
         1         2    4.0000    1.4984    1.7550   -0.0502   -0.1513    0.9882    0.0232    4.0000    1.0000         0
% end

% time 4.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4568    0.5503    0.0476    0.9580    0.2852   -0.0302    3.9999    1.0000         0
         1         2    4.0000    1.4728    1.9708   -0.0733   -0.1918    0.9813    0.0129    4.0000    0.9999         0
% end

% time 4.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4942    0.5789    0.1002    0.9401    0.3408   -0.0003    4.0000    1.0000         0
         1         2    4.0000    1.6317    1.8828   -0.0976   -0.1566    0.9876    0.0057    3.9999    0.9999         0
% end

% time 5.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5114    0.4655    0.1000    0.9017    0.4323   -0.0011    4.0000    1.0000         0
         1         2    4.0000    1.4840    1.8440   -0.0659   -0.1020    0.9946   -0.0203    4.0000    1.0000         0
% end

% time 5.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5847    0.4893    0.1260    0.9049    0.4254    0.0099    4.0000    1.0000         0
         1         2    4.0000    1.4369    2.0268   -0.0544   -0.0350    0.9994    0.0004    4.0000    0.9999         0
% end

% time 5.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5180    0.5242    0.0470    0.9263    0.3765    0.0143    4.0000    0.9999         0
         1         2    4.0000    1.4186    2.0878    0.0870   -0.0218    0.9998   -0.0032    3.9999    0.9999         0
% end

% time 5.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5805    0.4980   -0.0595    0.8545    0.5194    0.0112    4.0000    1.0000         0
         1         2    4.0000    1.2505    1.9839   -0.0904   -0.0809    0.9967   -0.0083    4.0000    0.9999         0
% end

% time 5.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8219    0.3977   -0.0267    0.9012    0.4319   -0.0354    4.0000    1.0000         0
         1         2    4.0000    1.0232    1.9446   -0.1008   -0.1445    0.9895   -0.0020    4.0000    1.0000         0
% end

% time 6.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9722    0.4628    0.1007    0.9467    0.3221    0.0021    4.0000    1.0000         0
         1         2    4.0000    1.0599    1.8327   -0.1035   -0.1900    0.9818   -0.0003    3.9999    0.9999         0
% end

% time 6.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8937    0.5900    0.0418    0.9439    0.3302   -0.0084    4.0000    1.0000         0
         1         2    4.0000    1.0744    1.7936   -0.0476    0.0029    0.9992   -0.0395    3.9998    0.9996         0
% end

% time 6.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9660    0.5498    0.0827    0.9535    0.3012   -0.0121    3.9999    0.9998         0
         1         2    4.0000    0.9707    1.7098   -0.1001    0.0238    0.9997   -0.0010    4.0000    0.9999         0
% end

% time 6.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0871    0.7186   -0.0263    0.9835    0.1807   -0.0102    4.0000    0.9999         0
         1         2    4.0000    1.1448    1.6715   -0.0987    0.2780    0.9606   -0.0038    4.0000    0.9999         0
% end

% time 6.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0514    0.8981   -0.1001    0.9891    0.1476   -0.0001    4.0000    1.0000         0
         1         2    4.0000    1.1553    1.7250   -0.0996    0.2335    0.9724    0.0004    4.0000    1.0000         0
% end

% time 7.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1454    0.8989   -0.0998    1.0000   -0.0067   -0.0001    4.0000    1.0000         0
         1         2    4.0000    1.0249    1.4770   -0.0203    0.1494    0.9881    0.0374    4.0000    1.0000         0
% end

% time 7.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0669    0.8364   -0.1008    0.9990   -0.0436   -0.0010    3.9999    0.9999         0
         1         2    4.0000    1.2162    1.3476   -0.0881    0.3089    0.9511    0.0078    4.0000    1.0000         0
% end

% time 7.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0285    0.8333   -0.0999    0.9986    0.0526   -0.0008    4.0000    1.0000         0
         1         2    4.0000    1.1768    1.4704   -0.0531    0.2160    0.9763    0.0152    4.0000    0.9999         0
% end

% time 7.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9653    0.7922   -0.0998    1.0000    0.0043    0.0001    4.0000    1.0000         0
         1         2    4.0000    1.1944    1.3920    0.0044    0.1883    0.9819    0.0220    3.9999    0.9998         0
% end

% time 7.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9072    0.6887   -0.1001    0.9999    0.0162    0.0002    3.9999    0.9998         0
         1         2    4.0000    1.2647    1.3282   -0.0978    0.1237    0.9923    0.0037    4.0000    1.0000         0
% end

% time 8.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9444    0.6503   -0.1002    0.9997   -0.0226    0.0005    4.0000    1.0000         0
         1         2    4.0000    1.4188    1.3070   -0.1124    0.1749    0.9846    0.0043    4.0000    1.0000         0
% end

% time 8.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0518    0.6866   -0.1001    0.9920   -0.1266   -0.0003    4.0000    1.0000         0
         1         2    4.0000    1.2974    1.1007   -0.0935    0.3203    0.9473    0.0036    3.9999    0.9999         0
% end

% time 8.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0222    0.7303   -0.1000    0.9929   -0.1193    0.0000    4.0000    0.9999         0
         1         2    4.0000    1.3000    1.0527   -0.0987    0.3747    0.9271   -0.0003    4.0000    1.0000         0
% end

% time 8.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8992    0.6944   -0.0887    1.0000   -0.0006    0.0032    3.9998    0.9997         0
         1         2    4.0000    1.5115    0.9647   -0.0980    0.3161    0.9487    0.0031    3.9999    0.9998         0
% end

% time 8.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6748    0.6758   -0.1001    0.9953    0.0969    0.0003    3.9999    0.9999         0
         1         2    4.0000    1.4208    0.8572   -0.0677    0.2732    0.9619   -0.0122    4.0000    0.9999         0
% end

% time 9.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6339    0.7949   -0.0502    0.9725    0.2328   -0.0059    3.9998    0.9997         0
         1         2    4.0000    1.2870    0.8888   -0.0167    0.2033    0.9787   -0.0296    4.0000    1.0000         0
% end

% time 9.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7138    0.8414   -0.0668    0.9741    0.2254    0.0173    3.9999    0.9999         0
         1         2    4.0000    1.3776    0.9685    0.1014   -0.0295    0.9996    0.0013    4.0000    1.0000         0
% end

% time 9.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5778    0.9212   -0.0982    0.9821    0.1882    0.0055    4.0000    0.9999         0
         1         2    4.0000    1.3689    0.9195    0.1000    0.0772    0.9970    0.0000    4.0000    1.0000         0
% end

% time 9.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6124    0.8289    0.0138    0.9874    0.1578   -0.0078    3.9999    0.9998         0
         1         2    4.0000    1.2080    0.9335    0.1000    0.0856    0.9963    0.0009    4.0000    1.0000         0
% end

% time 9.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5414    0.8957    0.0714    0.9853    0.1603   -0.0592    4.0000    1.0000         0
         1         2    4.0000    1.2568    0.9585    0.0516    0.1390    0.9901    0.0220    4.0000    0.9999         0
% end

% time 10.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5575    0.9529    0.0115    0.9894    0.1371   -0.0473    4.0000    0.9999         0
         1         2    4.0000    1.2548    0.9897    0.0166    0.2435    0.9687    0.0490    3.9998    0.9997         0
% end

% time 10.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5035    0.9964   -0.1001    0.9930    0.1184    0.0003    4.0000    1.0000         0
         1         2    4.0000    1.3570    1.0531   -0.0106    0.2824    0.9593   -0.0059    4.0000    0.9999         0
% end

% time 10.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4558    1.1137   -0.0225    0.9966    0.0818    0.0064    4.0000    1.0000         0
         1         2    4.0000    1.3035    1.0822    0.0809    0.2851    0.9583   -0.0178    3.9998    0.9996         0
% end

% time 10.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4618    1.1251   -0.0997    0.9897    0.1435    0.0000    4.0000    1.0000         0
         1         2    4.0000    1.3431    1.1930    0.0058    0.3298    0.9426   -0.0530    3.9999    0.9998         0
% end

% time 10.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4490    1.0763   -0.0711    0.9885    0.1499    0.0202    4.0000    0.9999         0
         1         2    4.0000    1.3382    1.1084    0.0707    0.2110    0.9775   -0.0065    4.0000    0.9999         0
% end

% time 11.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4729    1.0719   -0.0443    0.9924    0.1197    0.0285    4.0000    1.0000         0
