
% time 0.2000
% report fiber
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2159    0.0071   -0.0997    0.9993    0.0382   -0.0008    4.0000    0.9999         0
         1         2    4.0000    1.4762    1.5184   -0.0193   -0.5766    0.8158   -0.0435    4.0000    1.0000         0
% end

% time 3.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1071    0.1072   -0.0797    0.9886    0.1504    0.0077    4.0000    1.0000         0
         1         2    4.0000    1.5337    1.5837    0.0219   -0.5617    0.8272    0.0180    4.0000    1.0000         0
% end

% time 4.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1430    0.1569   -0.0964    0.9745    0.2243   -0.0014    4.0000    1.0000         0
         1         2    4.0000    1.3414    1.5092   -0.0826   -0.7046    0.7095   -0.0064    4.0000    1.0000         0
% end

% time 4.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2265    0.3493   -0.1003    0.9766    0.2152   -0.0007    4.0000    0.9999         0
         1         2    4.0000    1.3416    1.5145   -0.0045   -0.6897    0.7240    0.0137    4.0000    1.0000         0
% end

% time 4.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2500    0.3802   -0.0863    0.9792    0.2027    0.0044    4.0000    0.9999         0
         1         2    4.0000    1.2870    1.4581    0.0534   -0.7402    0.6705    0.0502    4.0000    1.0000         0
% end

% time 4.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2766    0.2703   -0.1002    0.9849    0.1733   -0.0000    3.9999    0.9999         0
         1         2    4.0000    1.3094    1.3291   -0.0396   -0.7303    0.6823   -0.0343    3.9999    0.9999         0
% end

% time 4.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3843    0.2565   -0.0999    0.9840    0.1783   -0.0001    4.0000    0.9999         0
         1         2    4.0000    1.4313    1.2166    0.0230   -0.7539    0.6563    0.0304    4.0000    1.0000         0
% end

% time 5.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2736    0.2108   -0.1010    0.9767    0.2145    0.0034    4.0000    0.9999         0
         1         2    4.0000    1.3728    1.2528    0.0368   -0.7736    0.6326    0.0365    4.0000    1.0000         0
% end

% time 5.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3955    0.1425   -0.0993    0.9707    0.2404   -0.0001    4.0000    1.0000         0
         1         2    4.0000    1.4214    1.1441    0.0314   -0.8515    0.5232    0.0348    3.9999    0.9999         0
% end

% time 5.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4241    0.2559   -0.1004    0.9938    0.1109    0.0015    3.9999    0.9999         0
         1         2    4.0000    1.5482    0.9418    0.0220   -0.8682    0.4962    0.0064    4.0000    1.0000         0
% end

% time 5.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4365    0.0703   -0.0152    0.9713    0.2325   -0.0497    3.9999    0.9998         0
         1         2    4.0000    1.5284    0.9713   -0.0439   -0.8961    0.4428   -0.0300    4.0000    1.0000         0
% end

% time 5.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5327    0.1717   -0.1001    0.9733    0.2296   -0.0004    4.0000    1.0000         0
         1         2    4.0000    1.5728    0.9494   -0.0364   -0.9322    0.3611   -0.0265    4.0000    1.0000         0
% end

% time 6.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
