
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4695   -0.2877    0.0147    0.9661    0.2541    0.0458    4.0000    1.0000         0
         1         2    4.0000    0.6400    2.0087   -0.0820   -0.8826    0.4698   -0.0179    4.0000    0.9999         0
% end

% time 3.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4296   -0.4628   -0.0479    0.9528    0.3023   -0.0297    4.0000    0.9999         0
         1         2    4.0000    0.4660    1.9462   -0.0180   -0.8034    0.5950   -0.0223    3.9999    0.9998         0
% end

% time 4.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4573   -0.3220   -0.0357    0.9354    0.3524    0.0301    4.0000    0.9999         0
         1         2    4.0000    0.4559    1.8753   -0.0961   -0.7846    0.6199    0.0093    3.9998    0.9998         0
% end

% time 4.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4629   -0.1625   -0.0261    0.8577    0.5124    0.0427    4.0000    0.9999         0
         1         2    4.0000    0.4496    1.8201   -0.0923   -0.7898    0.6133    0.0105    4.0000    0.9999         0
% end

% time 4.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4692   -0.0611    0.0377    0.8899    0.4550   -0.0334    4.0000    0.9999         0
         1         2    4.0000    0.5730    1.7821   -0.0235   -0.8202    0.5693    0.0567    4.0000    0.9999         0
% end

% time 4.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5046    0.0824   -0.0296    0.8641    0.5029    0.0205    4.0000    1.0000         0
         1         2    4.0000    0.5417    1.7899   -0.0448   -0.8876    0.4596    0.0301    4.0000    1.0000         0
% end

% time 4.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4719    0.0833   -0.0479    0.8731    0.4868    0.0271    4.0000    1.0000         0
         1         2    4.0000    0.5135    1.7604   -0.0949   -0.8927    0.4506    0.0050    3.9999    0.9999         0
% end

% time 5.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3783    0.2086   -0.0798    0.8979    0.4396    0.0229    3.9998    0.9996         0
         1         2    4.0000    0.5195    1.8544   -0.1014   -0.8913    0.4533    0.0055    3.9999    0.9998         0
% end

% time 5.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4800    0.0701   -0.0602    0.8796    0.4755    0.0119    4.0000    1.0000         0
         1         2    4.0000    0.5519    1.5672   -0.1225   -0.9501    0.3115    0.0147    4.0000    1.0000         0
% end

% time 5.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3605    0.0412    0.0309    0.8830    0.4667    0.0505    3.9996    0.9992         0
         1         2    4.0000    0.5222    1.6363    0.0037   -0.9442    0.3262   -0.0463    3.9999    0.9998         0
% end

% time 5.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3908    0.0593   -0.0991    0.8672    0.4979    0.0015    3.9998    0.9997         0
         1         2    4.0000    0.4309    1.6377    0.0038   -0.9615    0.2713    0.0432    4.0000    1.0000         0
% end

% time 5.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4365    0.0138   -0.0174    0.8492    0.5266    0.0394    4.0000    0.9999         0
         1         2    4.0000    0.4640    1.7370   -0.0371   -0.9209    0.3898    0.0093    3.9998    0.9997         0
% end

% time 6.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2952    0.0734   -0.1002    0.8893    0.4573    0.0008    4.0000    1.0000         0
         1         2    4.0000    0.4473    1.7575   -0.0374   -0.9059    0.4229   -0.0226    3.9999    0.9999         0
% end

% time 6.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2449    0.0599   -0.1007    0.8606    0.5093    0.0015    4.0000    1.0000         0
         1         2    4.0000    0.3836    1.8020   -0.0264   -0.9034    0.4288   -0.0002    3.9998    0.9996         0
% end

% time 6.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1630    0.1215   -0.0500    0.9100    0.4138   -0.0265    3.9999    0.9999         0
         1         2    4.0000    0.4430    1.7260   -0.0173   -0.9194    0.3916    0.0376    4.0000    0.9999         0
% end

% time 6.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3923    0.1428   -0.0635    0.8384    0.5447    0.0212    4.0000    1.0000         0
         1         2    4.0000    0.4394    1.8014   -0.0184   -0.9410    0.3346   -0.0512    3.9998    0.9996         0
% end

% time 6.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3773    0.2453   -0.1000    0.8213    0.5705    0.0000    4.0000    0.9999         0
         1         2    4.0000    0.3719    1.9849   -0.0431   -0.9468    0.3218   -0.0097    3.9997    0.9994         0
% end

% time 7.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3569    0.2480   -0.0066    0.8621    0.5060   -0.0285    3.9998    0.9997         0
         1         2    4.0000    0.4227    1.9545   -0.1019   -0.9454    0.3259   -0.0019    3.9999    0.9998         0
% end

% time 7.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1263    0.0351   -0.0609    0.8753    0.4830    0.0238    3.9999    0.9999         0
         1         2    4.0000    0.4188    1.9018   -0.0806   -0.8785    0.4771   -0.0250    3.9997    0.9994         0
% end

% time 7.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1628   -0.0427   -0.0173    0.8943    0.4469    0.0209    4.0000    1.0000         0
         1         2    4.0000    0.5222    1.8802   -0.1011   -0.8038    0.5949   -0.0053    3.9999    0.9998         0
% end

% time 7.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1147   -0.0857   -0.0687    0.9134    0.4067    0.0143    4.0000    0.9999         0
         1         2    4.0000    0.6261    1.9616   -0.0996   -0.7476    0.6641    0.0000    3.9999    0.9999         0
% end

% time 7.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1333   -0.0301    0.0923    0.9091    0.4167    0.0036    4.0000    1.0000         0
         1         2    4.0000    0.6448    1.9535   -0.0222   -0.7729    0.6335   -0.0360    3.9999    0.9999         0
% end

% time 8.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1897    0.0294   -0.0659    0.9231    0.3835    0.0281    3.9997    0.9995         0
         1         2    4.0000    0.6524    1.9083   -0.1001   -0.7740    0.6332    0.0003    4.0000    1.0000         0
% end

% time 8.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1725   -0.0453   -0.0049    0.9153    0.4002   -0.0464    3.9999    0.9999         0
         1         2    4.0000    0.8046    1.9947   -0.1001   -0.7382    0.6746    0.0001    3.9999    0.9999         0
% end

% time 8.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3796   -0.1312   -0.0417    0.8917    0.4507   -0.0415    3.9998    0.9997         0
         1         2    4.0000    0.9263    2.0009   -0.0267   -0.7546    0.6553    0.0346    3.9998    0.9996         0
% end

% time 8.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5071   -0.0680   -0.1010    0.8919    0.4523   -0.0014    4.0000    1.0000         0
         1         2    4.0000    0.9083    1.9525   -0.0529   -0.7903    0.6122   -0.0245    4.0000    1.0000         0
% end

% time 8.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.6218   -0.1679   -0.0645    0.8599    0.5102   -0.0151    4.0000    1.0000         0
         1         2    4.0000    0.9494    1.8619   -0.0853   -0.8376    0.5458    0.0233    3.9999    0.9998         0
% end

% time 9.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8855   -0.1991    0.0350    0.8040    0.5939   -0.0296    4.0000    1.0000         0
         1         2    4.0000    0.9342    1.8620   -0.0998   -0.8847    0.4662   -0.0002    4.0000    0.9999         0
% end

% time 9.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8746   -0.0718    0.0428    0.8596    0.5106   -0.0163    4.0000    1.0000         0
         1         2    4.0000    1.0162    1.7807    0.0374   -0.9045    0.4250    0.0354    3.9999    0.9999         0
% end

% time 9.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9161    0.0067    0.0715    0.8247    0.5653   -0.0195    3.9999    0.9998         0
         1         2    4.0000    1.0197    1.8883    0.0227   -0.8868    0.4609    0.0355    4.0000    0.9999         0
% end

% time 9.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.7157   -0.1753    0.0987    0.8328    0.5536   -0.0033    3.9999    0.9999         0
         1         2    4.0000    0.8997    1.7691   -0.0531   -0.8504    0.5254   -0.0275    3.9999    0.9998         0
% end

% time 9.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5828   -0.2642    0.0742    0.8512    0.5244    0.0202    3.9999    0.9999         0
         1         2    4.0000    0.8493    1.6970   -0.0322   -0.8257    0.5629   -0.0359    3.9999    0.9999         0
% end

% time 10.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.6194    0.0105    0.0461    0.8656    0.5007   -0.0024    3.9999    0.9998         0
         1         2    4.0000    0.8865    1.8383    0.0179   -0.8551    0.5177    0.0261    3.9999    0.9999         0
% end

% time 10.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.6435    0.1943   -0.0640    0.8860    0.4631    0.0212    4.0000    0.9999         0
         1         2    4.0000    0.9059    1.8477   -0.0814   -0.8856    0.4641    0.0161    4.0000    0.9999         0
% end

% time 10.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.6783    0.2713   -0.0729    0.8939    0.4476    0.0238    3.9999    0.9999         0
         1         2    4.0000    0.8638    1.6354   -0.0995   -0.9504    0.3111   -0.0004    3.9999    0.9997         0
% end

% time 10.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.7703    0.5259   -0.0292    0.9451    0.3268   -0.0029    3.9999    0.9998         0
         1         2    4.0000    1.0073    1.4150   -0.1155   -0.9864    0.1634   -0.0167    3.9998    0.9997         0
% end

% time 10.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.6904    0.5194    0.0292    0.9490    0.3152    0.0028    3.9999    0.9999         0
         1         2    4.0000    0.9310    1.3852   -0.0903   -0.9916    0.1279   -0.0176    3.9997    0.9995         0
% end

% time 11.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5950    0.5437   -0.0372    0.9208    0.3881    0.0397    3.9999    0.9998         0
