
% time 0.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3564   -0.3910    0.0157    0.8373    0.5457   -0.0327    3.9999    0.9999         0
         1         2    2.0000    1.1388   -0.5710   -0.0114    0.2512    0.9645    0.0820    2.0000    1.0000         0
% end

% time 3.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4342   -0.3022   -0.0993    0.8222    0.5692   -0.0018    3.9999    0.9998         0
         1         2    2.0000    0.9657   -0.3784   -0.0453    0.5113    0.8591    0.0241    2.0000    1.0000         0
% end

% time 4.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2954   -0.3239   -0.1168    0.7925    0.6098   -0.0058    4.0000    1.0000         0
         1         2    2.0000    1.0231   -0.4520   -0.0183    0.2332    0.9715   -0.0437    2.0000    1.0000         0
% end

% time 4.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2520   -0.2493   -0.0642    0.8769    0.4807   -0.0023    3.9998    0.9997         0
         1         2    2.0000    1.0100   -0.4717    0.0253    0.3606    0.9326   -0.0137    2.0000    1.0000         0
% end

% time 4.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2444   -0.1861   -0.0970    0.8862    0.4634   -0.0005    4.0000    1.0000         0
         1         2    2.0000    0.9744   -0.4153   -0.0491    0.4103    0.9115    0.0297    2.0000    0.9999         0
% end

% time 4.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2027   -0.0683   -0.0724    0.8508    0.5253    0.0129    4.0000    1.0000         0
         1         2    2.0000    0.9273   -0.2469   -0.0480    0.3670    0.9283    0.0601    2.0000    1.0000         0
% end

% time 4.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2326   -0.0602    0.0509    0.8912    0.4534   -0.0140    4.0000    1.0000         0
         1         2    2.0000    1.0762   -0.3613    0.0547    0.2787    0.9594    0.0433    2.0000    1.0000         0
% end

% time 5.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1887   -0.0914    0.0318    0.9127    0.4085    0.0090    4.0000    1.0000         0
         1         2    2.0000    1.1214   -0.4663    0.0995    0.2063    0.9785   -0.0017    2.0000    1.0000         0
% end

% time 5.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2034   -0.0823   -0.0007    0.9091    0.4142    0.0439    3.9999    0.9999         0
         1         2    2.0000    1.4460   -0.4504    0.0998   -0.1089    0.9941    0.0001    2.0000    1.0000         0
% end

% time 5.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2214   -0.1007    0.0252    0.8995    0.4369    0.0011    4.0000    1.0000         0
         1         2    2.0000    1.5387   -0.4252    0.0876   -0.1861    0.9824   -0.0166    2.0000    1.0000         0
% end

% time 5.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1520   -0.1098   -0.0266    0.9353    0.3522    0.0339    4.0000    1.0000         0
         1         2    2.0000    1.9024   -0.4490    0.0527   -0.5413    0.8397    0.0441    2.0000    1.0000         0
% end

% time 5.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1309   -0.2551   -0.0588    0.9122    0.4090   -0.0257    4.0000    1.0000         0
         1         2    2.0000    1.9351   -0.4258    0.0921   -0.6647    0.7402   -0.1016    2.0000    1.0000         0
% end

% time 6.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0048   -0.2112   -0.0568    0.9235    0.3830   -0.0219    4.0000    1.0000         0
         1         2    2.0000    1.9245   -0.3338   -0.0035   -0.7543    0.6565    0.0015    2.0000    1.0000         0
% end

% time 6.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0886   -0.2225   -0.0332    0.9538    0.2987   -0.0312    4.0000    1.0000         0
         1         2    2.0000    2.0298   -0.2292   -0.0449   -0.8942    0.4443    0.0551    2.0000    1.0000         0
% end

% time 6.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2526   -0.1869   -0.0070    0.9925    0.1157   -0.0399    3.9999    0.9998         0
         1         2    2.0000    2.0358   -0.2208   -0.0454   -0.9797    0.1885    0.0684    2.0000    1.0000         0
% end

% time 6.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2726   -0.0827    0.0394    0.9987   -0.0100   -0.0493    3.9998    0.9996         0
         1         2    2.0000    2.0441   -0.1808   -0.0081   -0.9993    0.0058    0.0381    2.0000    1.0000         0
% end

% time 6.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3429   -0.1302    0.0081    0.9999    0.0101    0.0066    4.0000    1.0000         0
         1         2    2.0000    1.9921   -0.1882    0.0828   -0.9997   -0.0092   -0.0215    2.0000    1.0000         0
% end

% time 7.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0202   -0.2651    0.0307    0.9997    0.0230    0.0061    3.9998    0.9996         0
         1         2    2.0000    2.3091   -0.3316    0.0913   -0.9999    0.0105   -0.0088    2.0000    1.0000         0
% end

% time 7.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0533   -0.1538    0.1001    0.9979   -0.0645   -0.0002    4.0000    1.0000         0
         1         2    2.0000    2.3840   -0.4142    0.0705   -0.9955    0.0866    0.0390    2.0000    1.0000         0
% end

% time 7.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0486   -0.1433    0.0607    0.9969   -0.0764   -0.0188    4.0000    1.0000         0
         1         2    2.0000    2.2941   -0.4115   -0.0492   -0.9951    0.0807    0.0565    2.0000    1.0000         0
% end

% time 7.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0393   -0.2506    0.0611    0.9851   -0.1693    0.0298    3.9999    0.9998         0
         1         2    2.0000    2.3800   -0.6865   -0.0046   -0.9905    0.1254    0.0567    2.0000    1.0000         0
% end

% time 7.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0401   -0.3813    0.0450    0.9943   -0.1064    0.0100    3.9998    0.9997         0
         1         2    2.0000    2.3355   -0.7159   -0.0427   -0.9922    0.1119    0.0544    2.0000    1.0000         0
% end

% time 8.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0094   -0.1436   -0.0481    0.9856   -0.1661    0.0323    3.9999    0.9998         0
         1         2    2.0000    2.3742   -0.6086   -0.0732   -0.9872    0.1574    0.0267    2.0000    1.0000         0
% end

% time 8.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0177   -0.2596   -0.0105    0.9901   -0.1322    0.0464    3.9998    0.9997         0
         1         2    2.0000    2.3663   -0.6730    0.0535   -0.9857    0.1616   -0.0477    2.0000    1.0000         0
% end

% time 8.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0251   -0.3731   -0.0615    0.9977   -0.0659    0.0166    3.9998    0.9996         0
         1         2    2.0000    2.3824   -0.6124   -0.0296   -0.9965    0.0757   -0.0356    2.0000    0.9999         0
% end

% time 8.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0932   -0.5150    0.0743    0.9999   -0.0015    0.0140    4.0000    0.9999         0
         1         2    2.0000    2.3130   -0.6467    0.0998   -0.9988    0.0480   -0.0006    2.0000    1.0000         0
% end

% time 8.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0246   -0.4866    0.0982    0.9999   -0.0130    0.0004    3.9999    0.9999         0
         1         2    2.0000    2.3938   -0.6103    0.1000   -0.9994    0.0346    0.0000    2.0000    1.0000         0
% end

% time 9.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0200   -0.5667    0.0985    0.9999   -0.0104   -0.0024    4.0000    1.0000         0
         1         2    2.0000    2.4086   -0.6889    0.0990   -0.9995    0.0311   -0.0029    2.0000    1.0000         0
% end

% time 9.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2165   -0.4330    0.1002    1.0000   -0.0009   -0.0002    3.9999    0.9998         0
         1         2    2.0000    2.2194   -0.5556    0.0993   -0.9986    0.0536   -0.0007    2.0000    1.0000         0
% end

% time 9.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1241   -0.5697    0.0906    0.9992    0.0387    0.0097    3.9999    0.9999         0
         1         2    2.0000    2.3260   -0.5499    0.1003   -0.9990   -0.0448   -0.0000    2.0000    0.9999         0
% end

% time 9.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3683   -0.4683   -0.0051    0.9991   -0.0131    0.0391    4.0000    0.9999         0
         1         2    2.0000    2.1245   -0.5598    0.0771   -0.9995   -0.0266   -0.0177    2.0000    1.0000         0
% end

% time 9.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4504   -0.5881    0.0746    0.9997    0.0224   -0.0090    3.9999    0.9999         0
         1         2    2.0000    2.0654   -0.5476    0.0806   -0.9939   -0.1087   -0.0188    2.0000    1.0000         0
% end

% time 10.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4681   -0.6316    0.1004    0.9984    0.0568   -0.0010    3.9999    0.9998         0
         1         2    2.0000    2.0571   -0.4771    0.0999   -0.9862   -0.1658   -0.0008    2.0000    0.9998         0
% end

% time 10.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4000   -0.7235    0.0999    0.9982    0.0606   -0.0010    4.0000    0.9999         0
         1         2    2.0000    2.1316   -0.6288    0.0998   -0.9948   -0.1023    0.0007    2.0000    1.0000         0
% end

% time 10.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5377   -0.5728    0.0764    0.9996   -0.0290   -0.0073    3.9999    0.9999         0
         1         2    2.0000    1.9954   -0.6699    0.0851   -0.9988   -0.0466   -0.0137    2.0000    1.0000         0
% end

% time 10.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5685   -0.5751   -0.0734    0.9986   -0.0478    0.0225    3.9998    0.9995         0
         1         2    2.0000    1.9716   -0.7164    0.0050   -0.9991   -0.0338   -0.0262    2.0000    1.0000         0
% end

% time 10.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5380   -0.7332   -0.0662    0.9986   -0.0428    0.0321    3.9995    0.9991         0
         1         2    2.0000    1.9797   -0.8579    0.0059   -0.9994   -0.0236    0.0237    2.0000    1.0000         0
% end

% time 11.0000
% report fiber
% fiber class 1 is microtubule
