
% time 0.2000
% report fiber
% time 3.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9267   -0.3353   -0.0367    0.9996   -0.0110   -0.0241    3.9999    0.9998         0
         1         2    3.0000   -1.1595   -0.6831   -0.1000   -0.9626    0.2708    0.0000    3.0000    0.9999         0
% end

% time 3.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0162   -0.4257   -0.0186    0.9987   -0.0079   -0.0500    3.9998    0.9997         0
         1         2    3.0000   -1.2057   -0.5670   -0.0628   -0.9958    0.0875    0.0269    3.0000    1.0000         0
% end

% time 4.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9049   -0.4458    0.0629    0.9982    0.0563   -0.0219    4.0000    1.0000         0
         1         2    3.0000   -1.0423   -0.4772   -0.0317   -0.9973   -0.0684    0.0252    3.0000    1.0000         0
% end

% time 4.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1128   -0.2917    0.0665    0.9937    0.1107    0.0179    4.0000    1.0000         0
         1         2    3.0000   -1.2031   -0.4021    0.0297   -0.9938   -0.1100   -0.0148    3.0000    1.0000         0
% end

% time 4.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0390   -0.2921    0.0151    0.9990    0.0426   -0.0113    4.0000    0.9999         0
         1         2    3.0000   -1.0859   -0.3876   -0.0196   -0.9993   -0.0384   -0.0014    3.0000    1.0000         0
% end

% time 4.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1010   -0.3076    0.0952    0.9958    0.0908    0.0072    3.9999    0.9997         0
         1         2    3.0000   -1.1140   -0.4009    0.0568   -0.9960   -0.0876   -0.0192    3.0000    1.0000         0
% end

% time 4.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0829   -0.2663    0.0101    0.9987    0.0026   -0.0514    3.9998    0.9997         0
         1         2    3.0000   -1.0726   -0.3613   -0.0131   -0.9982   -0.0060    0.0597    3.0000    1.0000         0
% end

% time 5.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1306   -0.3639    0.0300    0.9969    0.0696    0.0353    4.0000    1.0000         0
         1         2    3.0000   -1.0342   -0.4570    0.0375   -0.9976   -0.0689   -0.0120    3.0000    1.0000         0
% end

% time 5.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1458   -0.4246    0.0645    0.9948    0.1013   -0.0060    3.9998    0.9997         0
         1         2    3.0000   -1.0184   -0.4479   -0.0292   -0.9907   -0.1343    0.0197    3.0000    0.9999         0
% end

% time 5.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1639   -0.4722    0.0986    0.9856    0.1693    0.0043    3.9999    0.9998         0
         1         2    3.0000   -1.0010   -0.5026    0.0189   -0.9874   -0.1578   -0.0122    3.0000    1.0000         0
% end

% time 5.6050
