
% time 0.2000
% report fiber
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2219    0.2567   -0.0922    0.9411    0.3374   -0.0228    3.9999    0.9998         0
         1         2    4.0000   -0.6565    0.1300    0.0416    0.6589    0.7519    0.0251    4.0000    1.0000         0
% end

% time 3.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0765    0.1601   -0.0445    0.9616    0.2726   -0.0314    4.0000    1.0000         0
         1         2    4.0000   -0.7209    0.1556    0.0953    0.6682    0.7439    0.0058    4.0000    0.9999         0
% end

% time 4.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1817    0.1238    0.0076    0.9723    0.2337    0.0072    4.0000    1.0000         0
         1         2    4.0000   -0.6365    0.1925    0.0997    0.5810    0.8139    0.0008    4.0000    1.0000         0
% end

% time 4.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2028    0.1559   -0.0610    0.9585    0.2845   -0.0163    3.9999    0.9999         0
         1         2    4.0000   -0.6326    0.2022    0.0636    0.4757    0.8789    0.0344    4.0000    0.9999         0
% end

% time 4.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2092    0.1940   -0.0757    0.9782    0.2073   -0.0132    4.0000    1.0000         0
         1         2    4.0000   -0.5778    0.3155    0.0468    0.5458    0.8374    0.0298    4.0000    1.0000         0
% end

% time 4.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4038    0.1024   -0.0969    0.9797    0.2006   -0.0026    4.0000    0.9999         0
         1         2    4.0000   -0.3839    0.2791   -0.0103    0.4969    0.8677   -0.0160    4.0000    1.0000         0
% end

% time 4.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3819    0.2208   -0.0832    0.8970    0.4420    0.0078    4.0000    1.0000         0
         1         2    4.0000   -0.2616    0.1849    0.0015    0.4825    0.8759   -0.0093    4.0000    1.0000         0
% end

% time 5.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4121    0.1501   -0.0401    0.9092    0.4153   -0.0293    3.9999    0.9999         0
         1         2    4.0000   -0.1726    0.1519    0.0814    0.3977    0.9175    0.0089    4.0000    1.0000         0
% end

% time 5.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5011    0.1502   -0.0413    0.9520    0.3011   -0.0557    4.0000    1.0000         0
         1         2    4.0000   -0.1170    0.2187    0.0995    0.3696    0.9292   -0.0012    4.0000    1.0000         0
% end

% time 5.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4134   -0.0536   -0.0997    0.9860    0.1667    0.0000    4.0000    1.0000         0
         1         2    4.0000   -0.1977    0.1645    0.0253    0.3963    0.9165    0.0555    3.9998    0.9996         0
% end

% time 5.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
