
% time 0.2000
% report fiber
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2322    0.6622   -0.0698    0.9974    0.0703    0.0146    4.0000    1.0000         0
         1         2    4.0000    1.8688    2.1924    0.1000   -0.5057    0.8627    0.0001    4.0000    1.0000         0
% end

% time 3.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2598    0.6946   -0.1000    0.9963   -0.0862   -0.0003    4.0000    0.9999         0
         1         2    4.0000    1.7752    2.2924    0.0997   -0.3235    0.9462    0.0010    4.0000    1.0000         0
% end

% time 4.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2473    0.6351   -0.1003    0.9959   -0.0899    0.0008    4.0000    1.0000         0
         1         2    4.0000    1.6980    2.3058    0.1041   -0.2043    0.9789   -0.0047    4.0000    0.9999         0
% end

% time 4.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4300    0.7401   -0.0605    0.9942   -0.1029   -0.0306    3.9999    0.9998         0
         1         2    4.0000    1.6337    2.4192    0.0995   -0.1608    0.9870   -0.0003    4.0000    1.0000         0
% end

% time 4.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4469    0.8960   -0.1001    0.9992    0.0392   -0.0002    4.0000    1.0000         0
         1         2    4.0000    1.6180    2.6730    0.0548   -0.1707    0.9851   -0.0213    4.0000    0.9999         0
% end

% time 4.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
