
% time 0.2000
% report fiber
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.6635    0.1239    0.0871    0.9890    0.1468   -0.0178    3.9999    0.9998         0
         1         2    4.0000    2.4210   -1.6921   -0.1228    0.7134    0.7005   -0.0192    3.9999    0.9999         0
% end

% time 3.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.7141   -0.0318    0.0968    0.9986    0.0526    0.0036    4.0000    0.9999         0
         1         2    4.0000    2.5032   -1.5443   -0.0398    0.7742    0.6328    0.0119    4.0000    1.0000         0
% end

% time 4.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.6912   -0.1042    0.1015    1.0000    0.0071    0.0029    4.0000    1.0000         0
         1         2    4.0000    2.3512   -1.5908    0.0628    0.8312    0.5555   -0.0230    4.0000    1.0000         0
% end

% time 4.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.7392   -0.0808   -0.0196    0.9957   -0.0821   -0.0426    3.9999    0.9998         0
         1         2    4.0000    2.4200   -1.4575   -0.0574    0.8778    0.4788    0.0148    4.0000    0.9999         0
% end

% time 4.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.6733   -0.0213   -0.0998    0.9966   -0.0828   -0.0002    4.0000    1.0000         0
         1         2    4.0000    2.4667   -1.3164   -0.1001    0.8835    0.4685   -0.0004    4.0000    1.0000         0
% end

% time 4.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.7015    0.1698   -0.1004    0.9558   -0.2941    0.0011    4.0000    1.0000         0
         1         2    4.0000    2.6877   -1.4691   -0.1002    0.8406    0.5416   -0.0038    4.0000    0.9999         0
% end

% time 4.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9793    0.3589   -0.1353    0.9165   -0.3997    0.0156    3.9999    0.9999         0
         1         2    4.0000    2.7333   -1.3050   -0.0420    0.9041    0.4264    0.0276    4.0000    1.0000         0
% end

% time 5.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.0994    0.4056   -0.0187    0.9369   -0.3478   -0.0346    3.9999    0.9998         0
         1         2    4.0000    2.7772   -1.2994   -0.1043    0.9422    0.3349    0.0062    3.9999    0.9999         0
% end

% time 5.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.0072    0.4902    0.0426    0.9128   -0.4078    0.0214    3.9999    0.9998         0
         1         2    4.0000    2.7113   -1.3128   -0.0968    0.9493    0.3143    0.0046    4.0000    1.0000         0
% end

% time 5.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.0022    0.6643    0.0422    0.9146   -0.4034    0.0278    4.0000    1.0000         0
         1         2    4.0000    2.6603   -1.3049   -0.1036    0.9299    0.3679    0.0061    3.9999    0.9998         0
% end

% time 5.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8176    0.6759    0.0962    0.8693   -0.4943    0.0054    4.0000    0.9999         0
         1         2    4.0000    2.6674   -1.1998   -0.1000    0.9425    0.3341   -0.0004    4.0000    0.9999         0
% end

% time 5.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8191    0.5215    0.1038    0.7181   -0.6960   -0.0033    4.0000    0.9999         0
         1         2    4.0000    2.6674   -1.1425   -0.1005    0.9594    0.2822    0.0010    4.0000    1.0000         0
% end

% time 6.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8334    0.4208   -0.0860    0.6757   -0.7372    0.0014    4.0000    1.0000         0
         1         2    4.0000    2.5609   -1.1396   -0.0868    0.9449    0.3275   -0.0021    3.9999    0.9999         0
% end

% time 6.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8550    0.2649   -0.0720    0.6604   -0.7503   -0.0291    4.0000    0.9999         0
         1         2    4.0000    2.6870   -1.2141   -0.1064    0.9735    0.2286    0.0021    3.9999    0.9997         0
% end

% time 6.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8109    0.3285   -0.0994    0.7010   -0.7131   -0.0016    4.0000    1.0000         0
         1         2    4.0000    2.6001   -1.2941   -0.1002    0.9830    0.1838    0.0001    4.0000    0.9999         0
% end

% time 6.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.0310    0.3807   -0.1001    0.7042   -0.7100    0.0001    4.0000    1.0000         0
         1         2    4.0000    2.6160   -1.1280    0.0429    0.9701    0.2388   -0.0437    3.9997    0.9994         0
% end

% time 6.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8984    0.5672   -0.1004    0.6797   -0.7335    0.0003    4.0000    1.0000         0
         1         2    4.0000    2.5531   -1.2760   -0.0957    0.9512    0.3085    0.0046    4.0000    0.9999         0
% end

% time 7.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1315    0.7053   -0.1009    0.6269   -0.7791    0.0021    4.0000    1.0000         0
         1         2    4.0000    2.6608   -1.1372   -0.1019    0.8793    0.4763    0.0012    3.9999    0.9999         0
% end

% time 7.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1127    0.5661   -0.0224    0.6780   -0.7350   -0.0023    4.0000    1.0000         0
         1         2    4.0000    2.4972   -1.0787   -0.0910    0.8693    0.4941    0.0118    3.9999    0.9999         0
% end

% time 7.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.2303    0.7695   -0.0999    0.6445   -0.7646    0.0003    3.9999    0.9999         0
         1         2    4.0000    2.6088   -1.2969   -0.0099    0.8092    0.5876    0.0036    4.0000    0.9999         0
